Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90min,Ast_90min,G+A_90min,G-PK_90min,G+A-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_90min,xAG_90min,xG+xAG,npxG_90min,npxG+xAG_90min,0
2002-2003,Paul Gerrard,ENG,GK,Everton,29,1973,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Steven Gerrard,ENG,MF,Liverpool,22,1980,34,32,"2,864",31.8,5.0,7.0,12.0,5.0,0.0,0.0,5,1.0,0.16,0.22,0.38,0.16,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Ryan Giggs,WAL,"FW,MF",Manchester Utd,28,1973,36,32,"2,848",31.6,8.0,10.0,18.0,8.0,0.0,0.0,0,0.0,0.25,0.32,0.57,0.25,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Phil Gilchrist,ENG,DF,West Brom,28,1973,22,22,"1,948",21.6,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Keith Gillespie,NIR,"FW,MF",Blackburn,27,1975,25,10,"1,192",13.2,0.0,3.0,3.0,0.0,0.0,0.0,2,0.0,0.0,0.23,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Shay Given,IRL,GK,Newcastle Utd,26,1976,38,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Shaun Goater,BER,FW,Manchester City,32,1970,26,14,"1,315",14.6,7.0,2.0,9.0,7.0,0.0,0.0,0,0.0,0.48,0.14,0.62,0.48,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Ed de Goey,NED,GK,Chelsea,35,1966,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Bjarne Goldbæk,DEN,MF,Fulham,33,1968,11,9,823,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Alain Goma,FRA,DF,Fulham,29,1972,29,29,"2,482",27.6,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Corrado Grabbi,ITA,FW,Blackburn,27,1975,11,1,200,2.2,1.0,0.0,1.0,1.0,0.0,0.0,2,0.0,0.45,0.0,0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Martin Grainger,ENG,DF,Birmingham City,29,1972,9,8,669,7.4,0.0,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Thomas Gravesen,DEN,MF,Everton,26,1976,33,30,"2,715",30.2,1.0,8.0,9.0,1.0,0.0,0.0,11,0.0,0.03,0.27,0.3,0.03,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Michael Gray,ENG,"DF,MF",Sunderland,27,1974,32,32,"2,791",31.0,1.0,2.0,3.0,1.0,0.0,0.0,3,0.0,0.03,0.06,0.1,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Jonathan Greening,ENG,MF,Middlesbrough,23,1979,38,38,"3,375",37.5,2.0,3.0,5.0,2.0,0.0,0.0,6,0.0,0.05,0.08,0.13,0.05,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Sean Gregan,ENG,DF,West Brom,28,1974,36,36,"3,187",35.4,1.0,0.0,1.0,1.0,0.0,0.0,10,0.0,0.03,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Vratislav Greško,SVK,DF,Blackburn,25,1977,10,10,888,9.9,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Andy Griffin,ENG,DF,Newcastle Utd,23,1979,27,22,"2,013",22.4,1.0,1.0,2.0,1.0,0.0,0.0,7,1.0,0.04,0.04,0.09,0.04,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Jesper Grønkjær,DEN,"FW,MF",Chelsea,24,1977,30,20,"1,735",19.3,4.0,4.0,8.0,4.0,0.0,0.0,5,0.0,0.21,0.21,0.41,0.21,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Ole Gunnar Solskjær,NOR,FW,Manchester Utd,29,1973,37,29,"2,601",28.9,9.0,6.0,15.0,9.0,0.0,0.0,4,0.0,0.31,0.21,0.52,0.31,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Eiður Guðjohnsen,ISL,"FW,MF",Chelsea,23,1978,35,20,"2,027",22.5,10.0,2.0,12.0,10.0,0.0,0.0,1,0.0,0.44,0.09,0.53,0.44,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2002-2003,Joey Guðjónsson,ISL,MF,Aston Villa,22,1980,11,9,783,8.7,2.0,2.0,4.0,2.0,0.0,0.0,3,1.0,0.23,0.23,0.46,0.23,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
