Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2007-2008,Dickson Etuhu,ng NGA,MF,Sunderland,25,1982,20,18,"1,504",16.7,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches,,,,,,,,,,,,
2007-2008,Kelvin Etuhu,ng NGA,"FW,MF",Manchester City,19,1988,6,2,204,2.3,1,1,2,1,0,0,1,0,0.44,0.44,0.88,0.44,0.88,Matches,,,,,,,,,,,,
2007-2008,Jonny Evans,nir NIR,DF,Sunderland,19,1988,15,15,"1,336",14.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Patrice Evra,fr FRA,DF,Manchester Utd,26,1981,33,33,"2,820",31.3,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2007-2008,Łukasz Fabiański,pl POL,GK,Arsenal,22,1985,3,3,248,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Cesc Fàbregas,es ESP,"FW,MF",Arsenal,20,1987,32,32,"2,857",31.7,7,17,24,7,0,0,9,0,0.22,0.54,0.76,0.22,0.76,Matches,,,,,,,,,,,,
2007-2008,Emerse Faé,ci CIV,MF,Reading,23,1984,8,3,296,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Craig Fagan,eng ENG,"FW,MF",Derby County,24,1982,22,17,"1,485",16.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Julien Faubert,fr FRA,"DF,FW",West Ham,23,1983,7,4,344,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Abdoulaye Faye,sn SEN,"DF,MF",Bolton,29,1978,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Abdoulaye Faye,sn SEN,"DF,MF",Newcastle Utd,29,1978,22,20,"1,651",18.3,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,,,,,,,,,,,,
2007-2008,Benny Feilhaber,us USA,MF,Derby County,22,1985,10,1,299,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Anton Ferdinand,eng ENG,DF,West Ham,22,1985,25,22,"1,894",21.0,2,0,2,2,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,,,,,,,,,,,,
2007-2008,Rio Ferdinand,eng ENG,DF,Manchester Utd,28,1978,35,35,"3,045",33.8,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,Matches,,,,,,,,,,,,
2007-2008,Gelson Fernandes,ch SUI,MF,Manchester City,20,1986,26,21,"1,961",21.8,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,,,,,,,,,,,,
2007-2008,Manuel Fernandes,pt POR,MF,Everton,21,1986,12,9,847,9.4,0,2,2,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,,,,,,,,,,,,
2007-2008,Paulo Ferreira,pt POR,DF,Chelsea,28,1979,18,15,"1,292",14.4,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,,,,,,,,,,,,
2007-2008,Maynor Figueroa,hn HON,DF,Wigan Athletic,24,1983,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Steve Finnan,ie IRL,DF,Liverpool,31,1976,24,21,"1,959",21.8,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,,,,,,,,,,,,
2007-2008,Mathieu Flamini,fr FRA,MF,Arsenal,23,1984,30,30,"2,660",29.6,3,2,5,3,0,0,5,0,0.10,0.07,0.17,0.10,0.17,Matches,,,,,,,,,,,,
2007-2008,Darren Fletcher,sct SCO,MF,Manchester Utd,23,1984,16,5,653,7.3,0,2,2,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,Matches,,,,,,,,,,,,
2007-2008,Caleb Folan,ie IRL,FW,Wigan Athletic,24,1982,2,1,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Mikael Forssell,fi FIN,FW,Birmingham City,26,1981,30,21,"1,681",18.7,9,3,12,9,0,0,0,0,0.48,0.16,0.64,0.48,0.64,Matches,,,,,,,,,,,,
2007-2008,Ben Foster,eng ENG,GK,Manchester Utd,24,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Brad Friedel,us USA,GK,Blackburn,36,1971,38,38,"3,420",38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Márton Fülöp,hu HUN,GK,Sunderland,24,1983,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Danny Gabbidon,wls WAL,DF,West Ham,27,1979,10,8,768,8.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,William Gallas,fr FRA,DF,Arsenal,29,1977,31,31,"2,723",30.3,4,0,4,4,0,0,6,0,0.13,0.00,0.13,0.13,0.13,Matches,,,,,,,,,,,,
2007-2008,Morten Gamst Pedersen,no NOR,"FW,MF",Blackburn,25,1981,37,32,"2,871",31.9,4,1,5,4,0,0,5,0,0.13,0.03,0.16,0.13,0.16,Matches,,,,,,,,,,,,
2007-2008,Anthony Gardner,eng ENG,DF,Tottenham,26,1980,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,,,,,,,,,,,,
2007-2008,Craig Gardner,eng ENG,MF,Aston Villa,20,1986,23,15,"1,331",14.8,3,0,3,3,0,0,4,0,0.20,0.00,0.20,0.20,0.20,Matches,,,,,,,,,,,,
2007-2008,Ricardo Gardner,jm JAM,"DF,MF",Bolton,28,1978,26,25,"2,223",24.7,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,,,,,,
2007-2008,Javier Garrido,es ESP,DF,Manchester City,22,1985,27,21,"1,898",21.1,0,1,1,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,,,,,,,
2007-2008,Geovanni,br BRA,"FW,MF",Manchester City,27,1980,19,2,412,4.6,3,1,4,3,0,0,4,0,0.66,0.22,0.87,0.66,0.87,Matches,,,,,,,,,,,,
2007-2008,Geremi,cm CMR,"DF,MF",Newcastle Utd,28,1978,27,24,"2,056",22.8,2,7,9,2,0,0,3,0,0.09,0.31,0.39,0.09,0.39,Matches,,,,,,,,,,,,
2007-2008,Steven Gerrard,eng ENG,MF,Liverpool,27,1980,34,32,"2,838",31.5,11,8,19,8,3,3,3,0,0.35,0.25,0.60,0.25,0.51,Matches,,,,,,,,,,,,
2007-2008,Hossam Ghaly,eg EGY,MF,Derby County,25,1981,15,13,"1,103",12.3,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,,,,,,,,,,,,
2007-2008,Stelios Giannakopoulos,gr GRE,"FW,MF",Bolton,33,1974,15,1,301,3.3,2,0,2,2,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches,,,,,,,,,,,,
2007-2008,Ryan Giggs,wls WAL,"FW,MF",Manchester Utd,33,1973,31,26,"2,233",24.8,3,4,7,3,0,0,1,0,0.12,0.16,0.28,0.12,0.28,Matches,,,,,,,,,,,,
2007-2008,Gilberto,br BRA,"DF,MF",Tottenham,31,1976,6,3,343,3.8,1,0,1,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,,,,,,,,,,,,
2007-2008,Shay Given,ie IRL,GK,Newcastle Utd,31,1976,19,19,"1,628",18.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Scott Golbourne,eng ENG,"DF,MF",Reading,19,1988,1,1,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Craig Gordon,sct SCO,GK,Sunderland,24,1982,34,34,"3,060",34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Andreas Granqvist,se SWE,"DF,MF",Wigan Athletic,22,1985,14,13,"1,171",13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Thomas Gravesen,dk DEN,MF,Everton,31,1976,8,1,182,2.0,0,1,1,0,0,0,1,0,0.00,0.49,0.49,0.00,0.49,Matches,,,,,,,,,,,,
2007-2008,Robert Green,eng ENG,GK,West Ham,27,1980,38,38,"3,420",38.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Andy Griffin,eng ENG,DF,Derby County,28,1979,15,13,"1,148",12.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Jonathan Grounds,eng ENG,DF,Middlesbrough,19,1988,5,5,423,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Brynjar Gunnarsson,is ISL,MF,Reading,31,1975,20,18,"1,499",16.7,0,1,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,Matches,,,,,,,,,,,,
2007-2008,Chris Gunter,wls WAL,"DF,MF",Tottenham,18,1989,2,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Danny Guthrie,eng ENG,MF,Bolton,20,1987,25,21,"1,900",21.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Ali Al-Habsi,om OMA,GK,Bolton,25,1981,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,El Hadji Diouf,sn SEN,"FW,MF",Bolton,26,1981,34,30,"2,637",29.3,4,6,10,4,0,0,11,0,0.14,0.20,0.34,0.14,0.34,Matches,,,,,,,,,,,,
2007-2008,Erik Hagen,no NOR,DF,Wigan Athletic,32,1975,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Marcus Hahnemann,us USA,GK,Reading,35,1972,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Greg Halford,eng ENG,"DF,FW",Sunderland,22,1984,8,8,676,7.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Fitz Hall,eng ENG,"DF,FW",Wigan Athletic,26,1980,1,0,41,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,John Halls,eng ENG,"DF,MF",Reading,25,1982,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Dietmar Hamann,de GER,MF,Manchester City,33,1973,29,26,"2,203",24.5,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Brede Hangeland,no NOR,DF,Fulham,26,1981,15,15,"1,350",15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Marlon Harewood,eng ENG,FW,Aston Villa,27,1979,23,1,521,5.8,5,0,5,5,0,0,2,0,0.86,0.00,0.86,0.86,0.86,Matches,,,,,,,,,,,,
2007-2008,Owen Hargreaves,eng ENG,MF,Manchester Utd,26,1981,23,16,"1,528",17.0,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches,,,,,,,,,,,,
2007-2008,James Harper,eng ENG,MF,Reading,26,1980,38,38,"3,347",37.2,6,1,7,6,0,0,1,0,0.16,0.03,0.19,0.16,0.19,Matches,,,,,,,,,,,,
2007-2008,Steve Harper,eng ENG,GK,Newcastle Utd,32,1975,21,19,"1,792",19.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Joe Hart,eng ENG,GK,Manchester City,20,1987,26,26,"2,340",26.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Ian Harte,ie IRL,DF,Sunderland,29,1977,8,3,312,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,David Healy,nir NIR,FW,Fulham,27,1979,30,15,"1,360",15.1,4,0,4,4,0,0,2,0,0.26,0.00,0.26,0.26,0.26,Matches,,,,,,,,,,,,
2007-2008,Heiðar Helguson,is ISL,FW,Bolton,29,1977,6,3,273,3.0,2,0,2,2,0,0,1,0,0.66,0.00,0.66,0.66,0.66,Matches,,,,,,,,,,,,
2007-2008,Emile Heskey,eng ENG,FW,Wigan Athletic,29,1978,28,27,"2,072",23.0,4,2,6,4,0,0,6,0,0.17,0.09,0.26,0.17,0.26,Matches,,,,,,,,,,,,
2007-2008,Tony Hibbert,eng ENG,DF,Everton,26,1981,24,22,"1,927",21.4,0,1,1,0,0,0,3,1,0.00,0.05,0.05,0.00,0.05,Matches,,,,,,,,,,,,
2007-2008,Danny Higginbotham,gi GIB,DF,Sunderland,28,1978,21,21,"1,890",21.0,3,0,3,3,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,,,,,,,,,,,,
2007-2008,Henrique Hilário,pt POR,GK,Chelsea,31,1975,3,2,207,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Seb Hines,eng ENG,"DF,MF",Middlesbrough,19,1988,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Alexander Hleb,by BLR,MF,Arsenal,26,1981,31,29,"2,425",26.9,2,6,8,2,0,0,3,0,0.07,0.22,0.30,0.07,0.30,Matches,,,,,,,,,,,,
2007-2008,Jack Hobbs,eng ENG,DF,Liverpool,18,1988,2,1,130,1.4,0,1,1,0,0,0,0,0,0.00,0.69,0.69,0.00,0.69,Matches,,,,,,,,,,,,
2007-2008,Steve Howard,eng ENG,FW,Derby County,31,1976,20,14,"1,395",15.5,1,3,4,1,0,0,3,0,0.06,0.19,0.26,0.06,0.26,Matches,,,,,,,,,,,,
2007-2008,Tim Howard,us USA,GK,Everton,28,1979,36,36,"3,240",36.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2007-2008,Justin Hoyte,tt TRI,DF,Arsenal,22,1984,5,2,155,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Hermann Hreiðarsson,is ISL,DF,Portsmouth,33,1974,32,30,"2,591",28.8,3,1,4,3,0,0,3,1,0.10,0.03,0.14,0.10,0.14,Matches,,,,,,,,,,,,
2007-2008,Tom Huddlestone,eng ENG,MF,Tottenham,20,1986,28,18,"1,945",21.6,3,7,10,3,0,0,5,0,0.14,0.32,0.46,0.14,0.46,Matches,,,,,,,,,,,,
2007-2008,Aaron Hughes,nir NIR,DF,Fulham,27,1979,30,29,"2,660",29.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Richard Hughes,sct SCO,MF,Portsmouth,28,1979,13,8,771,8.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Nicky Hunt,eng ENG,DF,Bolton,23,1983,14,12,"1,096",12.2,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Stephen Hunt,ie IRL,"FW,MF",Reading,25,1981,37,37,"3,314",36.8,5,4,9,3,2,2,5,0,0.14,0.11,0.24,0.08,0.19,Matches,,,,,,,,,,,,
2007-2008,Ben Hutchinson,eng ENG,FW,Middlesbrough,19,1987,8,0,191,2.1,1,0,1,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches,,,,,,,,,,,,
2007-2008,Robert Huth,de GER,DF,Middlesbrough,22,1984,13,9,923,10.3,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches,,,,,,,,,,,,
2007-2008,Alan Hutton,sct SCO,DF,Tottenham,22,1984,14,14,"1,215",13.5,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,,,,,,,,,,,,
2007-2008,Sami Hyypiä,fi FIN,DF,Liverpool,33,1973,27,24,"2,025",22.5,1,1,2,1,0,0,1,0,0.04,0.04,0.09,0.04,0.09,Matches,,,,,,,,,,,,
2007-2008,Ívar Ingimarsson,is ISL,DF,Reading,29,1977,34,33,"2,990",33.2,2,1,3,2,0,0,6,0,0.06,0.03,0.09,0.06,0.09,Matches,,,,,,,,,,,,
2007-2008,Emiliano Insúa,ar ARG,DF,Liverpool,18,1989,3,2,207,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Stephen Ireland,ie IRL,MF,Manchester City,20,1986,33,32,"2,548",28.3,4,4,8,4,0,0,1,1,0.14,0.14,0.28,0.14,0.28,Matches,,,,,,,,,,,,
2007-2008,Andreas Isaksson,se SWE,GK,Manchester City,25,1981,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Jussi Jääskeläinen,fi FIN,GK,Bolton,32,1975,28,28,"2,520",28.0,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches,,,,,,,,,,,,
2007-2008,Phil Jagielka,eng ENG,"DF,MF",Everton,24,1982,34,27,"2,654",29.5,1,3,4,1,0,0,2,0,0.03,0.10,0.14,0.03,0.14,Matches,,,,,,,,,,,,
2007-2008,Radhi Jaïdi,tn TUN,DF,Birmingham City,31,1975,18,18,"1,620",18.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,David James,eng ENG,GK,Portsmouth,36,1970,35,35,"3,150",35.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Jermaine Jenas,eng ENG,MF,Tottenham,24,1983,29,28,"2,475",27.5,4,6,10,4,0,0,3,0,0.15,0.22,0.36,0.15,0.36,Matches,,,,,,,,,,,,
2007-2008,Cameron Jerome,eng ENG,FW,Birmingham City,20,1986,33,21,"1,991",22.1,7,1,8,7,0,0,3,0,0.32,0.05,0.36,0.32,0.36,Matches,,,,,,,,,,,,
2007-2008,Park Ji-sung,kr KOR,MF,Manchester Utd,26,1981,12,8,631,7.0,1,1,2,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,Matches,,,,,,,,,,,,
2007-2008,Sun Jihai,cn CHN,DF,Manchester City,29,1977,14,7,817,9.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Collins John,nl NED,FW,Fulham,21,1985,2,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Stern John,tt TRI,FW,Sunderland,30,1976,1,0,33,0.4,1,0,1,1,0,0,0,0,2.73,0.00,2.73,2.73,2.73,Matches,,,,,,,,,,,,
2007-2008,Adam Johnson,eng ENG,MF,Middlesbrough,20,1987,19,3,475,5.3,1,0,1,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches,,,,,,,,,,,,
2007-2008,Andrew Johnson,eng ENG,FW,Everton,26,1981,29,20,"1,847",20.5,6,4,10,6,0,0,1,0,0.29,0.19,0.49,0.29,0.49,Matches,,,,,,,,,,,,
2007-2008,Damien Johnson,nir NIR,MF,Birmingham City,28,1978,17,17,"1,414",15.7,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Eddie Johnson,us USA,FW,Fulham,23,1984,6,4,384,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Glen Johnson,eng ENG,DF,Portsmouth,22,1984,29,29,"2,565",28.5,1,4,5,1,0,0,4,0,0.04,0.14,0.18,0.04,0.18,Matches,,,,,,,,,,,,
2007-2008,Glen Johnson,eng ENG,DF,Chelsea,22,1984,2,1,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Michael Johnson,jm JAM,DF,Derby County,34,1973,3,1,192,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Michael Johnson,eng ENG,MF,Manchester City,19,1988,23,23,"1,930",21.4,2,2,4,2,0,0,4,0,0.09,0.09,0.19,0.09,0.19,Matches,,,,,,,,,,,,
2007-2008,Brad Jones,au AUS,GK,Middlesbrough,25,1982,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,David Jones,eng ENG,MF,Derby County,22,1984,14,11,864,9.6,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,,,,,,,,,,,,
2007-2008,Kenwyne Jones,tt TRI,FW,Sunderland,22,1984,33,33,"2,818",31.3,7,6,13,7,0,0,2,0,0.22,0.19,0.42,0.22,0.42,Matches,,,,,,,,,,,,
2007-2008,Younès Kaboul,fr FRA,DF,Tottenham,21,1986,21,19,"1,605",17.8,3,1,4,3,0,0,1,0,0.17,0.06,0.22,0.17,0.22,Matches,,,,,,,,,,,,
2007-2008,Salomon Kalou,ci CIV,"FW,MF",Chelsea,21,1985,30,24,"2,133",23.7,7,10,17,7,0,0,1,0,0.30,0.42,0.72,0.30,0.72,Matches,,,,,,,,,,,,
2007-2008,Diomansy Kamara,sn SEN,FW,Fulham,26,1980,28,17,"1,613",17.9,5,1,6,5,0,0,6,0,0.28,0.06,0.33,0.28,0.33,Matches,,,,,,,,,,,,
2007-2008,Nwankwo Kanu,ng NGA,FW,Portsmouth,30,1976,25,13,"1,378",15.3,4,3,7,4,0,1,1,0,0.26,0.20,0.46,0.26,0.46,Matches,,,,,,,,,,,,
2007-2008,Olivier Kapo,fr FRA,"FW,MF",Birmingham City,26,1980,26,22,"2,018",22.4,5,0,5,4,1,1,5,0,0.22,0.00,0.22,0.18,0.18,Matches,,,,,,,,,,,,
2007-2008,Robbie Keane,ie IRL,FW,Tottenham,27,1980,36,32,"2,714",30.2,15,3,18,12,3,4,2,1,0.50,0.10,0.60,0.40,0.50,Matches,,,,,,,,,,,,
2007-2008,Jimmy Kébé,ml MLI,MF,Reading,23,1984,5,1,146,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Kasey Keller,us USA,GK,Fulham,37,1969,13,13,"1,170",13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Stephen Kelly,ie IRL,DF,Birmingham City,23,1983,38,38,"3,420",38.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Tugay Kerimoğlu,tr TUR,MF,Blackburn,36,1970,20,12,"1,124",12.5,2,0,2,2,0,0,5,1,0.16,0.00,0.16,0.16,0.16,Matches,,,,,,,,,,,,
2007-2008,Harry Kewell,au AUS,"FW,MF",Liverpool,28,1978,10,8,599,6.7,0,1,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches,,,,,,,,,,,,
2007-2008,Zurab Khizanishvili,ge GEO,DF,Blackburn,25,1981,13,10,955,10.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Seol Ki-hyeon,kr KOR,"FW,MF",Reading,28,1979,3,2,138,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Seol Ki-hyeon,kr KOR,"FW,MF",Fulham,28,1979,12,4,360,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches,,,,,,,,,,,,
2007-2008,Kevin Kilbane,ie IRL,"DF,MF",Wigan Athletic,30,1977,35,33,"2,962",32.9,1,1,2,1,0,0,4,1,0.03,0.03,0.06,0.03,0.06,Matches,,,,,,,,,,,,
2007-2008,Ledley King,eng ENG,"DF,MF",Tottenham,26,1980,4,4,289,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Marlon King,jm JAM,FW,Wigan Athletic,27,1980,15,8,668,7.4,1,0,1,0,1,1,1,0,0.13,0.00,0.13,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Richard Kingson,gh GHA,GK,Birmingham City,29,1978,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Chris Kirkland,eng ENG,GK,Wigan Athletic,26,1981,37,37,"3,330",37.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Dave Kitson,eng ENG,FW,Reading,27,1980,34,28,"2,522",28.0,10,2,12,10,0,0,2,1,0.36,0.07,0.43,0.36,0.43,Matches,,,,,,,,,,,,
2007-2008,Zat Knight,eng ENG,DF,Aston Villa,27,1980,27,25,"2,191",24.3,1,1,2,1,0,0,1,1,0.04,0.04,0.08,0.04,0.08,Matches,,,,,,,,,,,,
2007-2008,Zat Knight,eng ENG,DF,Fulham,27,1980,4,4,325,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2007-2008,Paul Konchesky,eng ENG,"DF,FW",Fulham,26,1981,33,33,"2,925",32.5,0,1,1,0,0,0,5,1,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,,,,,,
2007-2008,Jason Koumas,wls WAL,MF,Wigan Athletic,27,1979,30,21,"1,986",22.1,1,4,5,0,1,1,1,1,0.05,0.18,0.23,0.00,0.18,Matches,,,,,,,,,,,,
2007-2008,Niko Kranjčar,hr CRO,MF,Portsmouth,22,1984,34,31,"2,854",31.7,4,2,6,4,0,1,2,0,0.13,0.06,0.19,0.13,0.19,Matches,,,,,,,,,,,,
2007-2008,Shefki Kuqi,fi FIN,FW,Fulham,30,1976,10,3,412,4.6,0,1,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches,,,,,,,,,,,,
