Season,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,Matches,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2002-2003,James Beattie,eng ENG,FW,Southampton,24,1978,38,35,"3,198",35.5,23,2,25,18,5,5,3,0,0.65,0.06,0.70,0.51,0.56,Matches,,,,,,,,,,,,
2002-2003,David Beckham,eng ENG,MF,Manchester Utd,27,1975,31,27,"2,516",28.0,6,8,14,6,0,0,5,0,0.21,0.29,0.50,0.21,0.50,Matches,,,,,,,,,,,,
2002-2003,Rodrigo Beckham,br BRA,MF,Everton,25,1976,4,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Craig Bellamy,wls WAL,FW,Newcastle Utd,23,1979,23,21,"1,915",21.3,8,5,13,8,0,0,1,0,0.38,0.23,0.61,0.38,0.61,Matches,,,,,,,,,,,,
2002-2003,David Bellion,fr FRA,FW,Sunderland,19,1982,11,5,588,6.5,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,,,,,,,,,,,,
2002-2003,Djamel Belmadi,dz ALG,MF,Manchester City,26,1976,8,2,330,3.7,0,2,2,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,Matches,,,,,,,,,,,,
2002-2003,Francis Benali,eng ENG,DF,Southampton,33,1968,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Ali Benarbia,dz ALG,MF,Manchester City,33,1968,33,21,"2,059",22.9,3,6,9,3,0,0,4,1,0.13,0.26,0.39,0.13,0.39,Matches,,,,,,,,,,,,
2002-2003,Ian Bennett,eng ENG,GK,Birmingham City,30,1971,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Henning Berg,no NOR,DF,Blackburn,32,1969,16,15,"1,276",14.2,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,,,,,,,,,,,,
2002-2003,Patrik Berger,cz CZE,MF,Liverpool,28,1973,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Dennis Bergkamp,nl NED,FW,Arsenal,33,1969,29,23,"1,795",19.9,4,9,13,4,0,0,3,0,0.20,0.45,0.65,0.20,0.65,Matches,,,,,,,,,,,,
2002-2003,Guðni Bergsson,is ISL,DF,Bolton,37,1965,31,31,"2,790",31.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Eyal Berkovic,il ISR,MF,Manchester City,30,1972,27,27,"2,162",24.0,1,8,9,1,0,0,2,0,0.04,0.33,0.37,0.04,0.37,Matches,,,,,,,,,,,,
2002-2003,Olivier Bernard,fr FRA,DF,Newcastle Utd,22,1979,30,24,"2,156",24.0,2,0,2,2,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,,,,,,,,,,,,
2002-2003,Igor Bišćan,hr CRO,"DF,MF",Liverpool,24,1978,6,3,274,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Mikkel Bischoff,dk DEN,DF,Manchester City,20,1982,1,1,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Joachim Björklund,se SWE,DF,Sunderland,31,1971,20,19,"1,592",17.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Chris Black,eng ENG,MF,Sunderland,19,1982,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Laurent Blanc,fr FRA,"DF,MF",Manchester Utd,36,1965,19,15,"1,422",15.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Jesper Blomqvist,se SWE,"DF,MF",Charlton Ath,28,1974,3,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Jonathan Blondel,be BEL,MF,Tottenham,18,1984,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Luís Boa Morte,pt POR,"FW,MF",Fulham,24,1977,29,25,"2,187",24.3,2,1,3,2,0,0,9,0,0.08,0.04,0.12,0.08,0.12,Matches,,,,,,,,,,,,
2002-2003,George Boateng,nl NED,MF,Middlesbrough,26,1975,28,28,"2,448",27.2,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,
2002-2003,Alen Bokšić,hr CRO,FW,Middlesbrough,32,1970,18,13,"1,110",12.3,2,2,4,2,0,0,2,0,0.16,0.16,0.32,0.16,0.32,Matches,,,,,,,,,,,,
2002-2003,Lee Bowyer,eng ENG,MF,Leeds United,25,1977,15,15,"1,342",14.9,3,4,7,3,0,0,7,0,0.20,0.27,0.47,0.20,0.47,Matches,,,,,,,,,,,,
