Season,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_2,Ast_2,G+A_2,G-PK_2,G+A-PK,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,xG_2,xAG_2,xG+xAG,npxG_2,npxG+xAG_2
2012-2013,Manchester Utd,25,27.3,,38,418,,,80,63,143,76,4,7,57,1,2.11,1.66,3.76,2.00,3.66,,,,,,,,,,,
2012-2013,Newcastle Utd,32,26.2,,38,418,,,43,22,65,39,4,5,71,4,1.13,0.58,1.71,1.03,1.61,,,,,,,,,,,
2012-2013,Norwich City,27,26.7,,38,418,,,40,27,67,39,1,2,60,1,1.05,0.71,1.76,1.03,1.74,,,,,,,,,,,
2012-2013,QPR,30,28.2,,38,418,,,29,22,51,28,1,4,59,3,0.76,0.58,1.34,0.74,1.32,,,,,,,,,,,
2012-2013,Reading,28,27.2,,38,418,,,41,28,69,37,4,4,45,1,1.08,0.74,1.82,0.97,1.71,,,,,,,,,,,
2012-2013,Southampton,25,25.3,,38,418,,,46,25,71,43,3,3,43,2,1.21,0.66,1.87,1.13,1.79,,,,,,,,,,,
2012-2013,Stoke City,24,27.1,,38,418,,,33,23,56,30,3,5,76,4,0.87,0.61,1.47,0.79,1.39,,,,,,,,,,,
2012-2013,Sunderland,29,26.2,,38,418,,,39,24,63,35,4,4,61,3,1.03,0.63,1.66,0.92,1.55,,,,,,,,,,,
2012-2013,Swansea City,25,26.6,,38,418,,,47,32,79,47,0,0,57,2,1.24,0.84,2.08,1.24,2.08,,,,,,,,,,,
2012-2013,Tottenham,28,26.3,,38,418,,,62,45,107,62,0,0,54,2,1.63,1.18,2.82,1.63,2.82,,,,,,,,,,,
2012-2013,West Brom,25,27.6,,38,418,,,50,38,88,45,5,7,62,4,1.32,1.00,2.32,1.18,2.18,,,,,,,,,,,
2012-2013,West Ham,26,28.0,,38,418,,,43,33,76,39,4,4,74,1,1.13,0.87,2.00,1.03,1.89,,,,,,,,,,,
2012-2013,Wigan Athletic,28,27.7,,38,418,,,45,35,80,44,1,1,66,2,1.18,0.92,2.11,1.16,2.08,,,,,,,,,,,
2013-2014,Arsenal,27,26.8,,38,418,,,68,48,116,65,3,3,0,0,1.79,1.26,3.05,1.71,2.97,,,,,,,,,,,
2013-2014,Aston Villa,26,24.6,,38,418,,,38,25,63,36,2,4,0,0,1.00,0.66,1.66,0.95,1.61,,,,,,,,,,,
2013-2014,Cardiff City,32,25.4,,38,418,,,31,24,55,30,1,1,0,0,0.82,0.63,1.45,0.79,1.42,,,,,,,,,,,
2013-2014,Chelsea,29,27.7,,38,418,,,69,39,108,64,5,7,0,0,1.82,1.03,2.84,1.68,2.71,,,,,,,,,,,
2013-2014,Crystal Palace,31,28.1,,38,418,,,32,21,53,27,5,6,0,0,0.84,0.55,1.39,0.71,1.26,,,,,,,,,,,
2013-2014,Everton,28,27.6,,38,418,,,58,42,100,55,3,3,0,0,1.53,1.11,2.63,1.45,2.55,,,,,,,,,,,
2013-2014,Fulham,39,29.0,,38,418,,,38,28,66,36,2,3,0,0,1.00,0.74,1.74,0.95,1.68,,,,,,,,,,,
2013-2014,Hull City,27,27.5,,38,418,,,35,21,56,33,2,3,0,0,0.92,0.55,1.47,0.87,1.42,,,,,,,,,,,
2013-2014,Liverpool,25,25.7,,38,418,,,97,61,158,87,10,12,0,0,2.55,1.61,4.16,2.29,3.89,,,,,,,,,,,
2013-2014,Manchester City,23,27.7,,38,418,,,97,63,160,91,6,7,0,0,2.55,1.66,4.21,2.39,4.05,,,,,,,,,,,
2013-2014,Manchester Utd,30,26.7,,38,418,,,63,37,100,58,5,5,0,0,1.66,0.97,2.63,1.53,2.50,,,,,,,,,,,
2013-2014,Newcastle Utd,26,26.4,,38,418,,,41,25,66,39,2,3,0,0,1.08,0.66,1.74,1.03,1.68,,,,,,,,,,,
2013-2014,Norwich City,25,26.3,,38,418,,,28,18,46,27,1,2,0,0,0.74,0.47,1.21,0.71,1.18,,,,,,,,,,,
2013-2014,Southampton,24,25.1,,38,418,,,52,37,89,49,3,3,0,0,1.37,0.97,2.34,1.29,2.26,,,,,,,,,,,
2013-2014,Stoke City,26,27.3,,38,418,,,44,26,70,40,4,5,0,0,1.16,0.68,1.84,1.05,1.74,,,,,,,,,,,
2013-2014,Sunderland,31,26.5,,38,418,,,41,24,65,35,6,6,0,0,1.08,0.63,1.71,0.92,1.55,,,,,,,,,,,
2013-2014,Swansea City,27,26.5,,38,418,,,47,37,84,43,4,4,0,0,1.24,0.97,2.21,1.13,2.11,,,,,,,,,,,
2013-2014,Tottenham,28,25.2,,38,418,,,50,33,83,45,5,6,0,0,1.32,0.87,2.18,1.18,2.05,,,,,,,,,,,
2013-2014,West Brom,28,28.4,,38,418,,,41,27,68,39,2,2,0,0,1.08,0.71,1.79,1.03,1.74,,,,,,,,,,,
2013-2014,West Ham,29,28.5,,38,418,,,36,22,58,34,2,2,0,0,0.95,0.58,1.53,0.89,1.47,,,,,,,,,,,
2014-2015,Arsenal,29,26.1,56.6,38,418,"3,420",38.0,69,47,116,63,6,7,0,0,1.82,1.24,3.05,1.66,2.89,,,,,,,,,,,
2014-2015,Aston Villa,27,26.3,49.0,38,418,"3,420",38.0,31,23,54,30,1,1,0,0,0.82,0.61,1.42,0.79,1.39,,,,,,,,,,,
2014-2015,Burnley,24,27.2,42.5,38,418,"3,420",38.0,27,22,49,26,1,2,0,0,0.71,0.58,1.29,0.68,1.26,,,,,,,,,,,
2014-2015,Chelsea,25,27.0,55.9,38,418,"3,420",38.0,72,59,131,68,4,5,0,0,1.89,1.55,3.45,1.79,3.34,,,,,,,,,,,
2014-2015,Crystal Palace,30,27.8,40.4,38,418,"3,420",38.0,46,27,73,41,5,7,0,0,1.21,0.71,1.92,1.08,1.79,,,,,,,,,,,
2014-2015,Everton,28,27.9,54.7,38,418,"3,420",38.0,47,31,78,43,4,7,0,0,1.24,0.82,2.05,1.13,1.95,,,,,,,,,,,
2014-2015,Hull City,29,27.4,44.2,38,418,"3,420",38.0,32,22,54,31,1,1,0,0,0.84,0.58,1.42,0.82,1.39,,,,,,,,,,,
2014-2015,Leicester City,28,27.9,43.5,38,418,"3,420",38.0,45,29,74,42,3,3,0,0,1.18,0.76,1.95,1.11,1.87,,,,,,,,,,,
2014-2015,Liverpool,25,25.2,55.8,38,418,"3,420",38.0,48,30,78,43,5,6,0,0,1.26,0.79,2.05,1.13,1.92,,,,,,,,,,,
2014-2015,Manchester City,24,28.6,59.8,38,418,"3,420",38.0,82,61,143,75,7,8,0,0,2.16,1.61,3.76,1.97,3.58,,,,,,,,,,,
2014-2015,Manchester Utd,33,26.0,61.2,38,418,"3,420",38.0,60,41,101,57,3,5,0,0,1.58,1.08,2.66,1.50,2.58,,,,,,,,,,,
2014-2015,Newcastle Utd,27,25.9,47.7,38,418,"3,420",38.0,40,30,70,39,1,1,0,0,1.05,0.79,1.84,1.03,1.82,,,,,,,,,,,
2014-2015,QPR,32,28.2,45.2,38,418,"3,420",38.0,39,29,68,36,3,5,0,0,1.03,0.76,1.79,0.95,1.71,,,,,,,,,,,
2014-2015,Southampton,29,26.0,53.1,38,418,"3,420",38.0,49,32,81,47,2,3,0,0,1.29,0.84,2.13,1.24,2.08,,,,,,,,,,,
2014-2015,Stoke City,25,27.4,50.4,38,418,"3,420",38.0,47,30,77,44,3,3,0,0,1.24,0.79,2.03,1.16,1.95,,,,,,,,,,,
2014-2015,Sunderland,25,27.8,45.2,38,417,"3,420",38.0,30,20,50,26,4,4,0,0,0.79,0.53,1.32,0.68,1.21,,,,,,,,,,,
2014-2015,Swansea City,27,26.6,50.1,38,418,"3,420",38.0,43,34,77,41,2,2,0,0,1.13,0.89,2.03,1.08,1.97,,,,,,,,,,,
2014-2015,Tottenham,27,24.4,57.0,38,418,"3,420",38.0,56,40,96,53,3,5,0,0,1.47,1.05,2.53,1.39,2.45,,,,,,,,,,,
2014-2015,West Brom,26,28.0,43.7,38,418,"3,420",38.0,37,29,66,33,4,5,0,0,0.97,0.76,1.74,0.87,1.63,,,,,,,,,,,
2014-2015,West Ham,28,26.8,45.6,38,418,"3,420",38.0,43,34,77,42,1,2,0,0,1.13,0.89,2.03,1.11,2.00,,,,,,,,,,,
2015-2016,Arsenal,25,27.0,58.3,38,418,"3,420",38.0,62,53,115,61,1,2,0,0,1.63,1.39,3.03,1.61,3.00,,,,,,,,,,,
2015-2016,Aston Villa,29,26.6,46.4,38,418,"3,420",38.0,24,19,43,22,2,2,0,0,0.63,0.50,1.13,0.58,1.08,,,,,,,,,,,
2015-2016,Bournemouth,28,27.7,51.2,38,418,"3,420",38.0,43,28,71,40,3,4,0,0,1.13,0.74,1.87,1.05,1.79,,,,,,,,,,,
2015-2016,Chelsea,28,26.8,56.2,38,418,"3,420",38.0,55,40,95,51,4,5,0,0,1.45,1.05,2.50,1.34,2.39,,,,,,,,,,,
2015-2016,Crystal Palace,30,27.7,45.8,38,418,"3,420",38.0,38,21,59,34,4,5,0,0,1.00,0.55,1.55,0.89,1.45,,,,,,,,,,,
2015-2016,Everton,31,26.5,51.9,38,418,"3,420",38.0,56,44,100,52,4,5,0,0,1.47,1.16,2.63,1.37,2.53,,,,,,,,,,,
2015-2016,Leicester City,23,27.7,42.6,38,418,"3,420",38.0,68,43,111,58,10,13,0,0,1.79,1.13,2.92,1.53,2.66,,,,,,,,,,,
2015-2016,Liverpool,34,25.2,57.2,38,418,"3,420",38.0,62,50,112,60,2,2,0,0,1.63,1.32,2.95,1.58,2.89,,,,,,,,,,,
2015-2016,Manchester City,25,28.3,56.9,38,418,"3,420",38.0,71,53,124,66,5,8,0,0,1.87,1.39,3.26,1.74,3.13,,,,,,,,,,,
2015-2016,Manchester Utd,33,25.6,58.5,38,418,"3,420",38.0,46,31,77,43,3,3,0,0,1.21,0.82,2.03,1.13,1.95,,,,,,,,,,,
2015-2016,Newcastle Utd,31,25.4,46.6,38,418,"3,420",38.0,43,34,77,40,3,3,0,0,1.13,0.89,2.03,1.05,1.95,,,,,,,,,,,
2015-2016,Norwich City,28,27.7,46.0,38,418,"3,420",38.0,38,27,65,37,1,1,0,0,1.00,0.71,1.71,0.97,1.68,,,,,,,,,,,
2015-2016,Southampton,26,26.4,49.2,38,418,"3,420",38.0,58,45,103,55,3,4,0,0,1.53,1.18,2.71,1.45,2.63,,,,,,,,,,,
2015-2016,Stoke City,27,27.4,49.7,38,418,"3,420",38.0,40,29,69,35,5,5,0,0,1.05,0.76,1.82,0.92,1.68,,,,,,,,,,,
2015-2016,Sunderland,31,27.3,41.0,38,418,"3,420",38.0,44,30,74,41,3,3,0,0,1.16,0.79,1.95,1.08,1.87,,,,,,,,,,,
2015-2016,Swansea City,27,27.6,52.5,38,418,"3,420",38.0,41,25,66,36,5,5,0,0,1.08,0.66,1.74,0.95,1.61,,,,,,,,,,,
2015-2016,Tottenham,24,24.5,57.4,38,418,"3,420",38.0,68,50,118,63,5,5,0,0,1.79,1.32,3.11,1.66,2.97,,,,,,,,,,,
2015-2016,Watford,25,28.2,45.1,38,418,"3,420",38.0,38,18,56,32,6,7,0,0,1.00,0.47,1.47,0.84,1.32,,,,,,,,,,,
2015-2016,West Brom,28,29.1,39.8,38,418,"3,420",38.0,32,25,57,31,1,5,0,0,0.84,0.66,1.50,0.82,1.47,,,,,,,,,,,
2015-2016,West Ham,28,26.6,48.4,38,418,"3,420",38.0,64,38,102,60,4,4,0,0,1.68,1.00,2.68,1.58,2.58,,,,,,,,,,,
2016-2017,Arsenal,29,26.9,58.9,38,418,"3,420",38.0,73,55,128,69,4,6,0,0,1.92,1.45,3.37,1.82,3.26,,,,,,,,,,,
2016-2017,Bournemouth,27,27.0,51.5,38,418,"3,420",38.0,53,33,86,46,7,10,0,2,1.39,0.87,2.26,1.21,2.08,,,,,,,,,,,
2016-2017,Burnley,27,27.7,40.3,38,418,"3,420",38.0,39,24,63,33,6,6,0,1,1.03,0.63,1.66,0.87,1.50,,,,,,,,,,,
2016-2017,Chelsea,24,27.2,55.1,38,418,"3,420",38.0,83,53,136,81,2,4,0,0,2.18,1.39,3.58,2.13,3.53,,,,,,,,,,,
2016-2017,Crystal Palace,31,27.7,45.4,38,418,"3,420",38.0,48,32,80,44,4,7,0,0,1.26,0.84,2.11,1.16,2.00,,,,,,,,,,,
2016-2017,Everton,27,27.5,52.1,38,418,"3,420",38.0,58,45,103,55,3,4,0,1,1.53,1.18,2.71,1.45,2.63,,,,,,,,,,,
2016-2017,Hull City,28,27.4,45.9,38,418,"3,420",38.0,36,24,60,33,3,3,0,0,0.95,0.63,1.58,0.87,1.50,,,,,,,,,,,
2016-2017,Leicester City,25,27.8,41.9,38,418,"3,420",38.0,46,32,78,42,4,6,0,0,1.21,0.84,2.05,1.11,1.95,,,,,,,,,,,
2016-2017,Liverpool,23,26.1,62.0,38,418,"3,420",38.0,77,52,129,70,7,8,0,0,2.03,1.37,3.39,1.84,3.21,,,,,,,,,,,
2016-2017,Manchester City,25,28.5,65.0,38,418,"3,420",38.0,75,54,129,68,7,9,0,0,1.97,1.42,3.39,1.79,3.21,,,,,,,,,,,
2016-2017,Manchester Utd,31,26.7,56.5,38,418,"3,420",38.0,54,37,91,51,3,4,0,1,1.42,0.97,2.39,1.34,2.32,,,,,,,,,,,
2016-2017,Middlesbrough,27,27.3,47.3,38,418,"3,420",38.0,26,22,48,24,2,2,0,1,0.68,0.58,1.26,0.63,1.21,,,,,,,,,,,
2016-2017,Southampton,26,26.0,54.4,38,418,"3,420",38.0,39,27,66,36,3,6,0,1,1.03,0.71,1.74,0.95,1.66,,,,,,,,,,,
2016-2017,Stoke City,26,28.7,46.3,38,418,"3,420",38.0,37,24,61,33,4,6,0,1,0.97,0.63,1.61,0.87,1.50,,,,,,,,,,,
2016-2017,Sunderland,31,26.8,39.7,38,418,"3,420",38.0,28,11,39,23,5,5,0,3,0.74,0.29,1.03,0.61,0.89,,,,,,,,,,,
2016-2017,Swansea City,27,27.4,47.9,38,418,"3,420",38.0,45,31,76,42,3,3,0,0,1.18,0.82,2.00,1.11,1.92,,,,,,,,,,,
2016-2017,Tottenham,24,25.3,60.5,38,418,"3,420",38.0,84,59,143,77,7,9,0,0,2.21,1.55,3.76,2.03,3.58,,,,,,,,,,,
2016-2017,Watford,33,29.0,46.1,38,418,"3,420",38.0,39,27,66,36,3,3,0,3,1.03,0.71,1.74,0.95,1.66,,,,,,,,,,,
2016-2017,West Brom,23,29.4,37.3,38,418,"3,420",38.0,43,33,76,42,1,1,0,0,1.13,0.87,2.00,1.11,1.97,,,,,,,,,,,
2016-2017,West Ham,29,27.1,47.1,38,418,"3,420",38.0,46,28,74,43,3,4,0,4,1.21,0.74,1.95,1.13,1.87,,,,,,,,,,,
2017-2018,Arsenal,30,26.8,61.4,38,418,"3,420",38.0,73,61,134,69,4,5,,,1.92,1.61,3.53,1.82,3.42,68.3,64.3,53.3,117.6,915,2223,1.80,1.40,3.20,1.69,3.10
2017-2018,Bournemouth,22,26.9,48.1,38,418,"3,420",38.0,45,36,81,42,3,3,,,1.18,0.95,2.13,1.11,2.05,38.8,36.4,29.1,65.5,702,1526,1.02,0.77,1.79,0.96,1.72
2017-2018,Brighton,24,27.5,43.7,38,418,"3,420",38.0,33,25,58,28,5,7,,,0.87,0.66,1.53,0.74,1.39,37.0,31.8,26.2,58.0,523,1230,0.97,0.69,1.66,0.84,1.53
2017-2018,Burnley,24,27.5,43.7,38,418,"3,420",38.0,35,26,61,35,0,0,,,0.92,0.68,1.61,0.92,1.61,32.3,32.3,23.6,55.9,431,1103,0.85,0.62,1.47,0.85,1.47
2017-2018,Chelsea,26,26.7,55.6,38,418,"3,420",38.0,60,42,102,57,3,3,,,1.58,1.11,2.68,1.50,2.61,54.4,52.0,41.5,93.5,1045,1998,1.43,1.09,2.52,1.37,2.46
2017-2018,Crystal Palace,28,27.1,45.2,38,418,"3,420",38.0,44,26,70,36,8,10,,,1.16,0.68,1.84,0.95,1.63,53.5,45.9,33.3,79.2,727,1308,1.41,0.88,2.28,1.21,2.08
2017-2018,Everton,30,26.7,45.5,38,418,"3,420",38.0,42,26,68,37,5,8,,,1.11,0.68,1.79,0.97,1.66,40.5,34.1,24.7,58.8,477,1161,1.07,0.65,1.71,0.90,1.55
2017-2018,Huddersfield,25,26.4,45.7,38,418,"3,420",38.0,25,19,44,23,2,2,,,0.66,0.50,1.16,0.61,1.11,31.3,29.8,23.7,53.5,627,1210,0.82,0.62,1.45,0.78,1.41
2017-2018,Leicester City,27,27.2,48.0,38,418,"3,420",38.0,53,38,91,48,5,6,,,1.39,1.00,2.39,1.26,2.26,50.0,45.3,34.9,80.2,655,1271,1.32,0.92,2.24,1.19,2.11
2017-2018,Liverpool,27,25.6,60.3,38,418,"3,420",38.0,82,58,140,80,2,3,,,2.16,1.53,3.68,2.11,3.63,72.9,70.6,52.7,123.3,982,2236,1.92,1.39,3.31,1.86,3.24
2017-2018,Manchester City,25,26.4,71.0,38,418,"3,420",38.0,103,85,188,97,6,8,,,2.71,2.24,4.95,2.55,4.79,78.6,72.7,57.9,130.6,1308,2570,2.07,1.52,3.59,1.91,3.44
2017-2018,Manchester Utd,27,26.7,54.7,38,418,"3,420",38.0,67,53,120,66,1,3,,,1.76,1.39,3.16,1.74,3.13,55.7,53.3,40.5,93.8,920,1564,1.47,1.07,2.53,1.40,2.47
2017-2018,Newcastle Utd,27,25.6,41.7,38,418,"3,420",38.0,38,29,67,38,0,1,,,1.00,0.76,1.76,1.00,1.76,41.6,40.9,32.1,72.9,548,1145,1.10,0.84,1.94,1.08,1.92
2017-2018,Southampton,26,26.2,51.3,38,418,"3,420",38.0,36,23,59,33,3,3,,,0.95,0.61,1.55,0.87,1.47,39.9,37.6,29.5,67.0,694,1609,1.05,0.78,1.83,0.99,1.76
2017-2018,Stoke City,30,27.5,41.4,38,418,"3,420",38.0,34,28,62,34,0,3,,,0.89,0.74,1.63,0.89,1.63,36.5,34.1,27.4,61.4,477,1150,0.96,0.72,1.68,0.90,1.62
2017-2018,Swansea City,26,27.2,45.3,38,418,"3,420",38.0,27,20,47,26,1,1,,,0.71,0.53,1.24,0.68,1.21,31.6,30.8,20.2,51.0,596,1194,0.83,0.53,1.36,0.81,1.34
2017-2018,Tottenham,25,25.8,61.8,38,418,"3,420",38.0,70,51,121,68,2,3,,,1.84,1.34,3.18,1.79,3.13,64.7,62.3,49.0,111.3,862,2249,1.70,1.29,2.99,1.64,2.93
2017-2018,Watford,29,27.9,49.7,38,418,"3,420",38.0,42,27,69,39,3,6,,,1.11,0.71,1.82,1.03,1.74,45.0,40.2,29.2,69.4,647,1455,1.19,0.77,1.95,1.06,1.83
2017-2018,West Brom,24,29.1,40.7,38,418,"3,420",38.0,31,24,55,30,1,1,,,0.82,0.63,1.45,0.79,1.42,36.5,35.7,25.9,61.6,507,1106,0.96,0.68,1.64,0.94,1.62
2017-2018,West Ham,27,28.0,45.2,38,418,"3,420",38.0,48,29,77,46,2,4,,,1.26,0.76,2.03,1.21,1.97,36.7,33.6,24.9,58.4,523,1179,0.97,0.65,1.62,0.88,1.54
2018-2019,Arsenal,28,26.7,58.1,38,418,"3,420",38.0,69,52,121,65,4,5,73,2,1.82,1.37,3.18,1.71,3.08,60.1,56.0,46.7,102.7,868,1874,1.58,1.23,2.81,1.47,2.70
2018-2019,Bournemouth,28,26.6,46.9,38,418,"3,420",38.0,55,43,98,48,7,9,60,1,1.45,1.13,2.58,1.26,2.39,53.3,46.2,38.8,85.0,738,1435,1.40,1.02,2.42,1.22,2.24
2018-2019,Brighton,21,27.4,42.4,38,418,"3,420",38.0,35,24,59,30,5,6,61,4,0.92,0.63,1.55,0.79,1.42,35.3,30.7,24.5,55.2,475,1150,0.93,0.64,1.57,0.81,1.45
2018-2019,Burnley,23,28.0,41.2,38,418,"3,420",38.0,43,32,75,41,2,2,75,1,1.13,0.84,1.97,1.08,1.92,44.4,42.8,31.2,74.0,421,1032,1.17,0.82,1.99,1.13,1.95
2018-2019,Cardiff City,25,27.7,35.4,38,418,"3,420",38.0,33,20,53,30,3,4,66,1,0.87,0.53,1.39,0.79,1.32,42.4,39.2,27.6,66.8,434,918,1.11,0.73,1.84,1.03,1.76
2018-2019,Chelsea,24,27.3,62.9,38,418,"3,420",38.0,61,52,113,56,5,5,49,0,1.61,1.37,2.97,1.47,2.84,58.6,54.6,44.9,99.6,1058,2155,1.54,1.18,2.72,1.44,2.62
2018-2019,Crystal Palace,26,27.4,45.2,38,418,"3,420",38.0,48,33,81,38,10,11,58,2,1.26,0.87,2.13,1.00,1.87,47.6,39.2,29.5,68.7,771,1458,1.25,0.78,2.03,1.03,1.81
2018-2019,Everton,23,25.7,51.5,38,418,"3,420",38.0,53,34,87,51,2,5,56,4,1.39,0.89,2.29,1.34,2.24,49.7,45.7,33.7,79.4,697,1581,1.31,0.89,2.19,1.20,2.09
2018-2019,Fulham,28,26.0,48.8,38,418,"3,420",38.0,33,24,57,31,2,3,70,2,0.87,0.63,1.50,0.82,1.45,41.3,39.0,30.0,69.0,628,1487,1.09,0.79,1.88,1.03,1.82
2018-2019,Huddersfield,31,26.2,47.2,38,418,"3,420",38.0,21,13,34,20,1,1,56,4,0.55,0.34,0.89,0.53,0.87,28.8,28.0,19.9,47.9,601,1248,0.76,0.52,1.28,0.74,1.26
2018-2019,Leicester City,25,25.9,50.9,38,418,"3,420",38.0,48,34,82,43,5,7,60,5,1.26,0.89,2.16,1.13,2.03,52.4,47.3,37.6,84.9,752,1537,1.38,0.99,2.37,1.24,2.23
2018-2019,Liverpool,23,26.1,61.8,38,418,"3,420",38.0,86,55,141,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,73.7,68.4,49.8,118.2,857,2008,1.94,1.31,3.25,1.80,3.11
2018-2019,Manchester City,21,26.7,67.9,38,418,"3,420",38.0,91,71,162,88,3,4,44,1,2.39,1.87,4.26,2.32,4.18,84.3,81.3,65.5,146.7,1325,2429,2.22,1.72,3.94,2.14,3.86
2018-2019,Manchester Utd,28,26.3,54.7,38,418,"3,420",38.0,65,40,105,56,9,12,75,4,1.71,1.05,2.76,1.47,2.53,61.4,52.0,39.6,91.6,801,1668,1.62,1.04,2.66,1.37,2.41
2018-2019,Newcastle Utd,24,26.9,40.4,38,418,"3,420",38.0,41,33,74,40,1,3,57,2,1.08,0.87,1.95,1.05,1.92,39.1,36.7,27.4,64.1,467,985,1.03,0.72,1.75,0.97,1.69
2018-2019,Southampton,30,25.4,43.4,38,418,"3,420",38.0,44,27,71,40,4,5,73,3,1.16,0.71,1.87,1.05,1.76,46.9,43.4,29.3,72.7,603,1333,1.23,0.77,2.00,1.14,1.91
2018-2019,Tottenham,28,26.8,59.0,38,418,"3,420",38.0,66,47,113,62,4,4,57,3,1.74,1.24,2.97,1.63,2.87,54.9,51.8,39.1,90.9,840,1744,1.44,1.03,2.47,1.36,2.39
2018-2019,Watford,25,28.5,46.7,38,418,"3,420",38.0,51,39,90,50,1,1,79,4,1.34,1.03,2.37,1.32,2.34,48.2,47.5,34.8,82.3,588,1294,1.27,0.92,2.19,1.25,2.17
2018-2019,West Ham,26,27.6,48.6,38,418,"3,420",38.0,51,33,84,46,5,5,59,1,1.34,0.87,2.21,1.21,2.08,47.6,43.8,34.1,77.9,731,1478,1.25,0.90,2.15,1.15,2.05
2018-2019,Wolves,21,26.1,46.8,38,418,"3,420",38.0,46,35,81,42,4,4,73,1,1.21,0.92,2.13,1.11,2.03,52.1,49.0,39.4,88.4,743,1350,1.37,1.04,2.41,1.29,2.33
2019-2020,Arsenal,29,25.8,53.8,38,418,"3,420",38.0,56,35,91,53,3,3,88,5,1.47,0.92,2.39,1.39,2.32,47.0,44.6,31.4,76.1,815,1641,1.24,0.83,2.06,1.17,2.00
2019-2020,Aston Villa,28,25.7,44.1,38,418,"3,420",38.0,40,32,72,39,1,3,70,1,1.05,0.84,1.89,1.03,1.87,44.3,41.8,34.2,76.0,639,1247,1.16,0.90,2.06,1.10,2.00
2019-2020,Bournemouth,27,25.2,44.1,38,418,"3,420",38.0,38,24,62,34,4,4,78,3,1.00,0.63,1.63,0.89,1.53,44.8,41.7,30.6,72.3,601,1256,1.18,0.80,1.98,1.10,1.90
2019-2020,Brighton,25,26.4,52.2,38,418,"3,420",38.0,35,24,59,34,1,2,59,2,0.92,0.63,1.55,0.89,1.53,45.4,43.8,31.6,75.4,669,1675,1.20,0.83,2.03,1.15,1.99
2019-2020,Burnley,22,28.0,41.9,38,418,"3,420",38.0,41,30,71,38,3,3,67,0,1.08,0.79,1.87,1.00,1.79,47.4,45.3,32.4,77.7,437,890,1.25,0.85,2.10,1.19,2.04
2019-2020,Chelsea,27,25.5,60.4,38,418,"3,420",38.0,69,46,115,62,7,7,60,0,1.82,1.21,3.03,1.63,2.84,69.2,64.4,46.7,111.1,983,1897,1.82,1.23,3.05,1.70,2.92
2019-2020,Crystal Palace,25,29.4,44.8,38,418,"3,420",38.0,29,20,49,26,3,3,62,2,0.76,0.53,1.29,0.68,1.21,35.8,33.6,26.0,59.5,596,1223,0.94,0.68,1.63,0.88,1.57
2019-2020,Everton,24,25.5,49.0,38,418,"3,420",38.0,42,32,74,41,1,1,76,3,1.11,0.84,1.95,1.08,1.92,50.8,50.0,38.1,88.1,623,1430,1.34,1.00,2.34,1.32,2.32
2019-2020,Leicester City,24,26.1,57.1,38,418,"3,420",38.0,65,48,113,60,5,7,43,3,1.71,1.26,2.97,1.58,2.84,62.2,56.7,44.9,101.6,739,1612,1.64,1.18,2.82,1.49,2.67
2019-2020,Liverpool,24,26.6,62.9,38,418,"3,420",38.0,83,69,152,78,5,5,38,1,2.18,1.82,4.00,2.05,3.87,68.9,65.0,53.0,118.0,967,1941,1.81,1.39,3.21,1.71,3.10
2019-2020,Manchester City,24,26.9,66.2,38,418,"3,420",38.0,100,69,169,94,6,11,64,4,2.63,1.82,4.45,2.47,4.29,92.0,83.6,68.4,152.0,1199,2460,2.42,1.80,4.22,2.20,4.00
2019-2020,Manchester Utd,29,24.8,55.8,38,418,"3,420",38.0,65,43,108,55,10,14,73,0,1.71,1.13,2.84,1.45,2.58,62.2,51.2,38.5,89.7,926,1788,1.64,1.01,2.65,1.35,2.36
2019-2020,Newcastle Utd,28,26.5,39.0,38,418,"3,420",38.0,38,29,67,38,0,1,66,3,1.00,0.76,1.76,1.00,1.76,35.5,34.8,26.9,61.7,537,844,0.94,0.71,1.64,0.91,1.62
2019-2020,Norwich City,30,26.0,49.3,38,418,"3,420",38.0,25,18,43,23,2,2,68,3,0.66,0.47,1.13,0.61,1.08,37.0,35.4,27.4,62.8,673,1169,0.97,0.72,1.69,0.93,1.65
2019-2020,Sheffield Utd,26,26.9,43.1,38,418,"3,420",38.0,36,25,61,35,1,1,63,2,0.95,0.66,1.61,0.92,1.58,43.0,42.2,34.0,76.3,493,1352,1.13,0.90,2.03,1.11,2.01
2019-2020,Southampton,25,25.9,48.9,38,418,"3,420",38.0,51,32,83,49,2,5,55,4,1.34,0.84,2.18,1.29,2.13,56.1,52.1,36.4,88.5,628,1335,1.48,0.96,2.43,1.37,2.33
2019-2020,Tottenham,29,26.7,52.0,38,418,"3,420",38.0,56,39,95,53,3,4,84,3,1.47,1.03,2.50,1.39,2.42,47.9,44.7,32.6,77.3,768,1410,1.26,0.86,2.12,1.18,2.03
2019-2020,Watford,26,28.9,42.9,38,418,"3,420",38.0,35,21,56,28,7,8,80,3,0.92,0.55,1.47,0.74,1.29,48.9,42.6,31.4,74.0,578,1168,1.29,0.83,2.11,1.12,1.95
