Player,Season,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent
Nathan AkÃ©,2022-2023,1,0,92,1871,15,161.6,383.4,150.0,9,419,69.7,9,0,2,2.4
Aymeric Laporte,2022-2023,0,0,40,992,10,107.8,166.2,68.0,3,210,34.1,4,0,0,0.6
Zack Steffen,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Bernardo Veiga de Carvalho e Silva,2022-2023,4,6,106,2196,24,515.0,492.0,424.0,9,427,143.1,7,0,5,5.9
RÃºben Gato Alves Dias,2022-2023,0,0,80,1997,16,83.7,416.8,124.0,1,432,62.5,9,0,3,7.4
Phil Foden,2022-2023,11,7,142,1832,16,670.8,671.2,712.0,15,517,205.4,5,0,1,9.7
Rodrigo Hernandez,2022-2023,2,6,108,2911,26,555.9,716.0,493.0,7,606,176.9,11,0,5,1.9
Cole Palmer,2022-2023,0,1,19,358,4,72.4,59.2,97.0,0,76,23.1,1,0,1,0.1
James McAtee,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0
Erling Haaland,2022-2023,36,9,272,2767,26,371.0,1390.0,1825.0,40,1040,358.1,13,0,5,78.4
JuliÃ¡n Ãlvarez,2022-2023,9,3,103,1448,16,271.1,430.8,545.0,14,393,124.7,5,0,0,7.7
Luke Mbete-Tabu,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1
Josh Wilson-Esbrand,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6
Liam Delap,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2
Stefan Ortega Moreno,2022-2023,0,0,23,270,1,0.0,116.8,0.0,5,90,11.7,2,0,0,1.5
Kalvin Phillips,2022-2023,0,0,14,291,3,46.5,39.0,19.0,0,68,10.5,1,0,1,0.1
Scott Carson,2022-2023,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4
Rico Lewis,2022-2023,0,0,29,900,8,152.4,114.6,40.0,0,168,30.7,2,0,1,1.1
